compound,headline,neg,neu,pos,label
0.0,the week at a glance 22 october 2017,0.0,1.0,0.0,0
0.3182,11street expects 50 per cent increase in gmv during campaign period,0.0,0.813,0.187,1
0.3182,11street expects 50 per cent increase in gmv during campaign period,0.0,0.813,0.187,1
0.0,airasia x launches direct flight to jaipur india from kuala lumpur beginning february 2018,0.0,1.0,0.0,0
-0.6908,weak sentiment drags fbm klci to 9-month low,0.573,0.427,0.0,-1
-0.6908,weak sentiment drags fbm klci to 9-month low,0.573,0.427,0.0,-1
-0.3182,sarawak cable slips into the red with q3 pre-tax loss of rm31.16 million,0.161,0.839,0.0,-1
-0.3182,sarawak cable slips into the red with q3 pre-tax loss of rm31.16 million,0.161,0.839,0.0,-1
0.0,tradeplus gold debuts at rm1.73 for 1.5-sen premium,0.0,1.0,0.0,0
0.0,tradeplus gold debuts at rm1.73 for 1.5-sen premium,0.0,1.0,0.0,0
0.5574,ktc secures distributorships boosts fy19 internal target revenue by rm177.1 million,0.0,0.662,0.338,1
0.5574,ktc secures distributorships boosts fy19 internal target revenue by rm177.1 million,0.0,0.662,0.338,1
0.0,mapping the sustainability landscape,0.0,1.0,0.0,0
0.0,mapping the sustainability landscape,0.0,1.0,0.0,0
0.3612,wood-based manufacturers earnings prospects to face challenges in 2018,0.0,0.667,0.333,1
0.3612,wood-based manufacturers earnings prospects to face challenges in 2018,0.0,0.667,0.333,1
0.2732,malaysia airports inks partnership agreements at singapore airshow,0.0,0.769,0.231,1
0.6705,microsoft surface book 2 a powerful yet portable smart device,0.0,0.522,0.478,1
0.0,what to expect from sarawak’s digital roadmap,0.0,1.0,0.0,0
0.0,what to expect from sarawak’s digital roadmap,0.0,1.0,0.0,0
0.0,gdb tender book exceeds rm1 billion,0.0,1.0,0.0,0
0.0,tri-mode debuts on ace market at 11 sen discount,0.0,1.0,0.0,0
0.5423,kab optimistic on business prospects following ge14,0.0,0.526,0.474,1
0.5423,kab optimistic on business prospects following ge14,0.0,0.526,0.474,1
0.0,jaya tiasa’s 9mfy18 falls short of expectations,0.0,1.0,0.0,0
0.0,jaya tiasa’s 9mfy18 falls short of expectations,0.0,1.0,0.0,0
-0.3182,wtk sees rough start to financial year with core net loss of rm19.4 mln,0.15,0.85,0.0,-1
-0.3182,wtk sees rough start to financial year with core net loss of rm19.4 mln,0.15,0.85,0.0,-1
0.5574,open tender policy positive for local biz,0.0,0.625,0.375,1
0.5574,open tender policy positive for local biz,0.0,0.625,0.375,1
0.3818,driving growth with food delivery,0.0,0.606,0.394,1
0.5267,encouraging take-up rate at sheda expo,0.0,0.595,0.405,1
0.5267,encouraging take-up rate at sheda expo,0.0,0.595,0.405,1
0.3818,analysts positive on hsp’s cancelled kretam stake acquisition,0.172,0.517,0.31,1
0.3818,analysts positive on hsp’s cancelled kretam stake acquisition,0.172,0.517,0.31,1
0.8689,power root rewards customers with easy to win contest,0.0,0.38,0.62,1
0.8689,power root rewards customers with easy to win contest,0.0,0.38,0.62,1
0.5719,ibraco celebrates 47th anniversary in bintulu with launch of new regional office,0.0,0.748,0.252,1
0.5719,ibraco celebrates 47th anniversary in bintulu with launch of new regional office,0.0,0.748,0.252,1
0.0,pansar joins the jcb family as the official dealership for east malaysia,0.0,1.0,0.0,0
0.0,pansar joins the jcb family as the official dealership for east malaysia,0.0,1.0,0.0,0
0.296,pansar declares dividends of 1.5 sen per ordinary share,0.0,0.784,0.216,1
0.296,pansar declares dividends of 1.5 sen per ordinary share,0.0,0.784,0.216,1
0.0,mixed reactions from constructors following sst announcement,0.0,1.0,0.0,0
0.0,mixed reactions from constructors following sst announcement,0.0,1.0,0.0,0
0.4697,uber narrows loss but is a long way from finding profit,0.131,0.587,0.282,1
0.4697,uber narrows loss but is a long way from finding profit,0.131,0.587,0.282,1
0.8271,pelaburan hartanah maybank asset management encourages ahb investments with prize draw,0.0,0.479,0.521,1
0.8271,pelaburan hartanah maybank asset management encourages ahb investments with prize draw,0.0,0.479,0.521,1
0.3818,sony’s latest premium headphones mdr-z7m2 features wide frequency response dynamic range,0.0,0.794,0.206,1
0.9056,ibraco posts positive growth for 2qfy18 aims for more good opportunities in 2018,0.0,0.423,0.577,1
0.3818,sony’s latest premium headphones mdr-z7m2 features wide frequency response dynamic range,0.0,0.794,0.206,1
0.9056,ibraco posts positive growth for 2qfy18 aims for more good opportunities in 2018,0.0,0.423,0.577,1
0.0,icar asia’s malaysia ebitda to be break-even in september 2018,0.0,1.0,0.0,0
0.3612,sony’s latest wh-1000xm3 headphones boasts greater performance latest audio tech,0.0,0.783,0.217,1
0.3612,sony’s latest wh-1000xm3 headphones boasts greater performance latest audio tech,0.0,0.783,0.217,1
0.0,plastic packaging sector’s capacity expansion plans on track,0.0,1.0,0.0,0
0.0,plastic packaging sector’s capacity expansion plans on track,0.0,1.0,0.0,0
0.0,plastic packaging sector’s capacity expansion plans on track,0.0,1.0,0.0,0
0.0,plastic packaging sector’s capacity expansion plans on track,0.0,1.0,0.0,0
0.0,plastic packaging sector’s capacity expansion plans on track,0.0,1.0,0.0,0
0.0,plastic packaging sector’s capacity expansion plans on track,0.0,1.0,0.0,0
0.0,corporate malaysia searching the horizon for answers,0.0,1.0,0.0,0
0.0,corporate malaysia searching the horizon for answers,0.0,1.0,0.0,0
0.0,amlex debuts at 15.5 sen on leap market,0.0,1.0,0.0,0
0.0,amlex debuts at 15.5 sen on leap market,0.0,1.0,0.0,0
0.4588,malaysia’s tech companies to benefit from us-china trade row,0.0,0.727,0.273,1
0.4588,malaysia’s tech companies to benefit from us-china trade row,0.0,0.727,0.273,1
0.0,bpa malaysia weekly bond market report,0.0,1.0,0.0,0
0.0,bpa malaysia weekly bond market report,0.0,1.0,0.0,0
-0.0772,fast and serious vietnam’s first domestic car manufacturer bets big,0.126,0.874,0.0,0
-0.0772,fast and serious vietnam’s first domestic car manufacturer bets big,0.126,0.874,0.0,0
0.0,unilever axes move from london to rotterdam,0.0,1.0,0.0,0
0.0,unilever axes move from london to rotterdam,0.0,1.0,0.0,0
0.1779,of malaysia’s cleaner corporate grip,0.0,0.702,0.298,0
-0.0516,mreits outlook clouded by oversupply of office retail spaces in klang valley,0.098,0.902,0.0,0
-0.0516,mreits outlook clouded by oversupply of office retail spaces in klang valley,0.098,0.902,0.0,0
0.0772,pls plantations to venture into durian industry,0.0,0.822,0.178,0
0.5106,healthcare sector hopeful of enhanced initiatives,0.0,0.602,0.398,1
0.5106,healthcare sector hopeful of enhanced initiatives,0.0,0.602,0.398,1
0.0,new hoong fatt seeks emphasis on tvet programmes in budget,0.0,1.0,0.0,0
0.0,new hoong fatt seeks emphasis on tvet programmes in budget,0.0,1.0,0.0,0
0.0,survey 30 pct of malaysians savings won’t last a month,0.0,1.0,0.0,0
0.0,survey 30 pct of malaysians savings won’t last a month,0.0,1.0,0.0,0
0.0,huawei mate 20 series boast latest performance processing technology,0.0,1.0,0.0,0
0.0,huawei mate 20 series boast latest performance processing technology,0.0,1.0,0.0,0
-0.296,sabah ports host pam mia at wisma ports,0.239,0.761,0.0,-1
-0.296,sabah ports host pam mia at wisma ports,0.239,0.761,0.0,-1
0.8225,rich asians crazy about securing wealth spark family office boom in hk singapore,0.112,0.374,0.514,1
0.0,first time home buyers may hold back,0.0,1.0,0.0,0
0.0,first time home buyers may hold back,0.0,1.0,0.0,0
0.4588,implementation of national fibre plan to benefit sacofa,0.0,0.7,0.3,1
0.4588,implementation of national fibre plan to benefit sacofa,0.0,0.7,0.3,1
0.0,nextgreen nomura and ihi corporation to explore green technology partnership,0.0,1.0,0.0,0
0.0,nextgreen nomura and ihi corporation to explore green technology partnership,0.0,1.0,0.0,0
0.5267,privasia optimistic of increased adoption procurehere,0.0,0.476,0.524,1
0.5267,privasia optimistic of increased adoption procurehere,0.0,0.476,0.524,1
0.0,klci dips in early trade banks weigh,0.0,1.0,0.0,0
0.0,klci dips in early trade banks weigh,0.0,1.0,0.0,0
-0.6369,stock with momentum kia lim,0.512,0.488,0.0,-1
0.0,klci manages to stay afloat 1670-level despite dip at regional markets,0.0,1.0,0.0,0
0.0,jtiasa favelle rubberex guan chong tanah makmur fututech supermax es ceramics naim see hup dominant jerasia,0.0,1.0,0.0,0
0.4215,united airlines ceo has heart transplant may return later than expected,0.0,0.781,0.219,1
0.4019,sellers in control at bursa malaysia klci support seen at 1650,0.0,0.787,0.213,1
0.0,stock with momentum dominant enterprise,0.0,1.0,0.0,0
0.0,fiamma tien wah teck guan guan chong ums chee wah caely wang-zheng ntpm golden pharos,0.0,1.0,0.0,0
0.0,guan chong asia file favelle ekovest eurospan fututech cycle carriage,0.0,1.0,0.0,0
0.0,seacera unit pre-qualifies for works related to dash suke,0.0,1.0,0.0,0
0.0,stock with momentum eurospan holdings,0.0,1.0,0.0,0
0.0,kimlun caely mercury eurospan ekovest guan chong formosa prosonic zecon kein hing bhs industries,0.0,1.0,0.0,0
0.34,klci pares gains despite rally at regional markets,0.0,0.745,0.255,1
0.0,golden pharos dufu sig bhs tien wah dolomite concrete engineering kps consortium acoustech big pccs silver ridge jaya tiasa,0.0,1.0,0.0,0
0.0,golden pharos dufu sig bhs tien wah dolomite concrete engineering kps consortium acoustech big pccs silver ridge jaya tiasa,0.0,1.0,0.0,0
0.0,c.i holdings aturmaju ums-neiken guan chong concrete engineering seal incorporated,0.0,1.0,0.0,0
0.0,stock with momentum ums-neiken group,0.0,1.0,0.0,0
0.0,dufu technology ums-neiken group c.i holdings resintech nylex,0.0,1.0,0.0,0
0.0,dufu technology ums-neiken group c.i holdings resintech nylex,0.0,1.0,0.0,0
0.0,stock with momentum resintech,0.0,1.0,0.0,0
0.0,ancom mercury industries raya international nylex concrete engineering products cab cakaran resintech,0.0,1.0,0.0,0
0.0,skb shutters to acquire selangor industrial land for rm54.91m cash,0.0,1.0,0.0,0
-0.4215,malaysias c.bank seen to hold rates as market worries over oil,0.219,0.781,0.0,-1
0.3818,gold keeps near 1-1/2-week top as safe-haven draw remains intact,0.0,0.69,0.31,1
0.0,palm oil may retest resistance at 2495 ringgit,0.0,1.0,0.0,0
-0.296,palm oil rebounds on short-covering lower output expectations,0.239,0.761,0.0,-1
-0.0258,ocbc malaysias 2016 growth seen at 4.7% deficit target to be raised to 3.4 to 3.5%,0.14,0.725,0.135,0
0.0258,palm oil extends gains on output worries short covering,0.22,0.472,0.307,0
0.0258,palm oil extends gains on output worries short covering,0.22,0.472,0.307,0
-0.296,lbi capitals 4q net profit falls 12.7 pays 50 sen dividend,0.256,0.562,0.181,-1
-0.2732,palm oil may drop to 2430 ringgit,0.259,0.741,0.0,-1
-0.5859,oil slump forcing malaysia to cut spending widen fiscal deficit target,0.348,0.652,0.0,-1
-0.3182,stocks dollar struggle ahead of fed as oil falters,0.223,0.777,0.0,-1
0.2023,gold below 12-week top on investor caution before fed statement,0.0,0.833,0.167,1
0.0,palm oil may edge up to 2535 ringgit,0.0,1.0,0.0,0
0.0,axiata tropicana pintaras jaya tm tenaga es ceramics perstima spritzer mpi homeritz chin teck wz satu and kejuruteraan samudera,0.0,1.0,0.0,0
0.4404,concrete engineering jumps 12 on 1q profit,0.0,0.674,0.326,1
-0.2732,palm oil to drop to 2399 ringgit,0.259,0.741,0.0,-1
0.5106,quill capita trust tek seng eurospan jag oka sona petroleum,0.0,0.732,0.268,1
0.3182,european shares reach two-week high led by tech stocks,0.0,0.68,0.32,1
-0.3182,klci reverses loss market to remain volatile,0.277,0.723,0.0,-1
0.0,klci retreats in line with regional markets,0.0,1.0,0.0,0
-0.4019,klci reverses losses plantations lift,0.403,0.597,0.0,-1
0.0,pne pcb ties up with china firm to explore multi-layered pcb business,0.0,1.0,0.0,0
0.5719,fsbm’s turnaround hinges on contract wins,0.0,0.575,0.425,1
0.7717,ideal sun city aims to secure 3 contracts worth rm40m in next 6 mths,0.0,0.539,0.461,1
-0.6369,padini csc steel pavilion reit tien wah kia lim,0.344,0.656,0.0,-1
-0.6369,stock with momentum kia lim,0.512,0.488,0.0,-1
-0.6369,aturmaju resources thong guan key alliance spritzer kia lim,0.344,0.656,0.0,-1
0.0,lbs bina anzo holdings innity corp formosa prosonic,0.0,1.0,0.0,0
-0.5574,ocb says no material impact from factory fire,0.434,0.566,0.0,-1
0.0,big industries eka noodles len cheong innity aturmaju voir airasia x,0.0,1.0,0.0,0
0.0,stock with momentum innity corporation,0.0,1.0,0.0,0
0.0,lbi capital’s shareholders approve disposal of lands,0.0,1.0,0.0,0
0.4215,tsr capital trc synergy yong tai efficient e-solutions nexgram wintoni and lbi capital,0.0,0.811,0.189,1
0.0,klci to drift sideways1700-level immediate hurdle,0.0,1.0,0.0,0
0.0,leon fuat len cheong eurospan m3 technologies scientex hsl,0.0,1.0,0.0,0
0.0,leon fuat len cheong eurospan m3 technologies scientex hsl,0.0,1.0,0.0,0
0.0,zecon trc ann joo palette masteel kimlun aeoncr eka dominant cscenic harrisons,0.0,1.0,0.0,0
0.0,acb industries minetech resources key asic melewar,0.0,1.0,0.0,0
0.5267,klci to extend consolidation phase support seen at 1700 level,0.0,0.645,0.355,1
-0.4404,klci slips below 1700 level as sentiment turns weaker,0.266,0.734,0.0,-1
0.0,melewar lb aluminium hiap teck m3 technologies trc len cheong,0.0,1.0,0.0,0
0.0,theta edge damansara realty trc synergy lb aluminium len cheong,0.0,1.0,0.0,0
0.0,stock with momentum len cheong holding,0.0,1.0,0.0,0
0.0,saudee’s rights issue oversubscribed by 60.97%,0.0,1.0,0.0,0
0.0,stock with momentum hiap huat holdings,0.0,1.0,0.0,0
0.7003,solution engineering proposes bonus issue,0.0,0.341,0.659,1
0.3182,skb shutters sees fy16 turnaround as demand improves,0.146,0.583,0.272,1
0.0,skb shutters storage unit bags us$10.8m job,0.0,1.0,0.0,0
0.2449,skb eyes more racking solutions and asrs business,0.0,0.78,0.22,1
0.0,a&m hiap huat eonmetall ock hiap teck lion industries spg ann joo,0.0,1.0,0.0,0
0.296,len cheong sees 2.65 of its shares traded off market at 4.5 premium,0.0,0.845,0.155,1
0.0276,business confidence in m’sia remains very weak acca,0.256,0.48,0.264,0
0.0,len cheong unit to jointly develop 0.92ha land in melaka,0.0,1.0,0.0,0
0.5719,jcy international menang corp maxis digi.com misc success transformer bina puri ipmuda len cheong eduspec tanah makmur olympia industries dutaland damansara realty and kumpulan powernet,0.0,0.866,0.134,1
0.0,klci to stay tentative take cue from global stocks,0.0,1.0,0.0,0
0.0,len cheong iskandar waterfront spring gallery plastrade tech tatt giaps,0.0,1.0,0.0,0
0.0,stock with momentum len cheong holding,0.0,1.0,0.0,0
0.0,klci falls 0.48 in line with subdued region,0.0,1.0,0.0,0
0.2263,new governor fails to inspire local market,0.243,0.435,0.322,1
0.0,dps to jointly develop rm166.3m mixed project,0.0,1.0,0.0,0
0.4019,astral asia looking to boost land bank,0.0,0.69,0.31,1
-0.4588,klci pares loss but remains pressured,0.5,0.5,0.0,-1
-0.0258,klci falls 12.49pts ringgit weakens on us rate hike prospect,0.184,0.64,0.176,0
0.0,unimech foresees earnings recovery in fy16,0.0,1.0,0.0,0
-0.3182,klci reverses loss banks blue chips lift,0.277,0.723,0.0,-1
0.5106,astral asia plans 35000-acre swak oil palm estate buy to up plantation land bank by 357%,0.0,0.82,0.18,1
0.0,astral asia to raise land bank size by 357 with sarawak venture,0.0,1.0,0.0,0
0.0,prestariang pasdec ivory properties malaysia smelting ekovest pmb tech hwa tai industries kub,0.0,1.0,0.0,0
0.0,klci stays in the red as petronas-linked stocks weigh,0.0,1.0,0.0,0
0.5994,dps resources surges 15 on winning legal tussle,0.0,0.55,0.45,1
0.0,stock with momentum hwa tai industries,0.0,1.0,0.0,0
0.34,klci notches up marginal gains,0.0,0.625,0.375,1
-0.4019,master-pack foresees collection problem,0.474,0.526,0.0,-1
-0.2732,hwa tai bounced off the low says alliancedbs research,0.208,0.792,0.0,-1
0.0,progressive impact sinks into the red in 1q,0.0,1.0,0.0,0
0.296,umw o&g lafarge jcy malakoff th plantations bat landmarks tanjung offshore sunsuria rubberex the store eg industries ccm ho hup genting plantations pos malaysia prg axis reit progressive impact multi sports and reach energy,0.0,0.909,0.091,1
0.0,klci likely to trade lacklustre in line with global equity markets,0.0,1.0,0.0,0
0.0,boilermech gapped up saya allliancedbs research,0.0,1.0,0.0,0
0.0,boilermech gapped up says allliancedbs research,0.0,1.0,0.0,0
0.4588,renewed buying interest emerges in hwa tai says allliancedbs research,0.0,0.75,0.25,1
0.0,klci down 0.41 as plantations select blue chips weigh,0.0,1.0,0.0,0
0.3182,south malaysia industries rises 30 after huge 1q y-o-y earnings jump,0.0,0.813,0.187,1
0.4939,astral asia confident of turnaround in fy16,0.0,0.652,0.348,1
-0.5574,scope versatile muar ban lee awc hwa tai ae multi signature,0.265,0.735,0.0,-1
0.1779,boilermech under profit taking pressure says alliancedbs research,0.198,0.541,0.261,0
0.128,astral asia confident of turnaround in fy16 after two years of losses,0.17,0.629,0.201,0
0.4404,y&g corps 1q profit falls 80 to rm2.74m,0.0,0.707,0.293,1
0.0,mexter astral supreme smi prinsiptek muar ban lee cam reources kub,0.222,0.556,0.222,0
0.0,mexter astral supreme smi prinsiptek muar ban lee cam reources kub,0.222,0.556,0.222,0
0.0,stock with momentum south malaysia industries,0.0,1.0,0.0,0
0.0,lii hen ae multi holdings ancom logistics south malaysia industries,0.0,1.0,0.0,0
0.0,pwf brite-tech hwa tai crest builder m3 technologies ae multi litrak,0.0,1.0,0.0,0
0.296,rex industry acquires shares in hwa tai,0.0,0.732,0.268,1
-0.5574,sin heng chan disposes of plantation unit for rm10.5m,0.31,0.69,0.0,-1
0.7783,s p setia e&o mega first jadi imaging scomi engineering cimb rex industry hwa tai tune protect hap seng consolidated alam maritim cab cakaran and farms best,0.0,0.772,0.228,1
0.0,stock with momentum kein hing international,0.0,1.0,0.0,0
0.0,mbl kein hing l&g eonmetall brite-techgadang,0.0,1.0,0.0,0
0.0,keurosolution engineering a-rank vsolar ums nova csc trive paragon,0.0,1.0,0.0,0
0.0,keurosolution engineering a-rank vsolar ums nova csc trive paragon,0.0,1.0,0.0,0
0.0,len cheong turns to property development,0.0,1.0,0.0,0
0.3182,stock with momentum solution engineering holdings,0.0,0.685,0.315,1
0.3182,awc johore tin keuro hai-o es ceramics vsolar solution engineering greenyield,0.0,0.813,0.187,1
0.3182,awc johore tin keuro hai-o es ceramics vsolar solution engineering greenyield,0.0,0.813,0.187,1
0.3182,awc johore tin keuro hai-o es ceramics vsolar solution engineering greenyield,0.0,0.813,0.187,1
0.3612,es ceramics ready to make new highs again says alliancedbs research,0.0,0.8,0.2,1
0.0,stock with momentum greenyield,0.0,1.0,0.0,0
0.0,stock with momentum es ceramics,0.0,1.0,0.0,0
0.7096,hwa tai solution engineering slp crest builder astral supreme,0.0,0.543,0.457,1
0.7096,hwa tai solution engineering slp crest builder astral supreme,0.0,0.543,0.457,1
0.0,stock with momentum hwa tai industries,0.0,1.0,0.0,0
0.0,ancom logistics nova mscyoong onn hwa tai connectcounty,0.0,1.0,0.0,0
0.0,pentamaster cme hwa tai wong engineering melewar dufu,0.0,1.0,0.0,0
0.296,ae multi holdings mb world group dksh holdings lion corp amanahraya reit brite-tech sunway reach energy knm group press metal mudajaya and mah sing,0.0,0.873,0.127,1
-0.5267,klci expected to come under pressure to go lower,0.386,0.614,0.0,-1
0.0,khee san sells land in selangor for rm9m to pare down bank borrowings,0.0,1.0,0.0,0
0.5267,ideal sun city to buy commercial buildings for rm50m,0.0,0.702,0.298,1
0.0,ammb announces board changes,0.0,1.0,0.0,0
0.3818,master-pack sees 6 revenue growth in fy16,0.0,0.658,0.342,1
0.0,maa borneo oil pwf tadmax a-rank minho,0.0,1.0,0.0,0
0.0,former ambank ceo james lim joins mexters board,0.0,1.0,0.0,0
0.0,former ambank ceo james lim joins mexters board,0.0,1.0,0.0,0
0.0,ex-ambank ceo james lim joins mexter’s board,0.0,1.0,0.0,0
0.0,ex-ambank ceo james lim joins mexter’s board,0.0,1.0,0.0,0
0.0,yoong onn hits all time high on bullish analyst outlook,0.0,1.0,0.0,0
-0.5574,brite-tech malayan flour mills muar ban lee goodway integrated tdex tanah makmur,0.247,0.753,0.0,-1
0.0,singapore court allows turiyas units claim against ex-directors,0.0,1.0,0.0,0
0.0,stock with momentum brite-tech,0.0,1.0,0.0,0
0.25,stock with momentum advanced packaging technology m),0.0,0.75,0.25,1
0.3818,f&n k-star goodway opensys ghl systems tune protect ann joo menang prinsiptek,0.0,0.809,0.191,1
0.0,gromutual sells kulai land for rm7.2m,0.0,1.0,0.0,0
0.0,cimb gromutual pantech scomi engineering public bank and sime darby,0.0,1.0,0.0,0
0.128,klci to come under pressure again support at 1640-1645,0.185,0.588,0.227,0
0.0,milux unit sued by subcontractor for non-payment of mining works,0.0,1.0,0.0,0
0.0,immediate hurdle for saudee at 32.5 sen says alliancedbs research,0.0,1.0,0.0,0
0.765,saudee group rise 3.28 on positive buying interest,0.0,0.476,0.524,1
-0.25,astino muar ban lee aeon credit k-star opensys malayan flour mills,0.237,0.592,0.171,-1
0.0,yinson paos pdz marco naim indah jasa kita mexter,0.0,1.0,0.0,0
0.0,borneo aqua harvest yoong onn yinson naim indah luster,0.0,1.0,0.0,0
0.0,stock with momentum yoong onn corp,0.0,1.0,0.0,0
-0.5574,wah seong pmb opensys mah sing muar ban lee rgb kumpulan fima,0.247,0.753,0.0,-1
0.0,upa corp to submit claim over land acquired for mrt2 project,0.0,1.0,0.0,0
0.0,hektar reit gkent media chinese kstar pwf wah seong,0.0,1.0,0.0,0
0.6369,esthetics wins exclusive distribution rights to one more brand,0.0,0.574,0.426,1
0.0,astral asia calls off sarawak oil palm plantation buy,0.0,1.0,0.0,0
0.0,heitech padu drb-hicom asian pac astral asia fajarbaru mbsb and p.i.e,0.0,1.0,0.0,0
0.0,astral asia calls off sarawak oil palm plantation buy,0.0,1.0,0.0,0
0.0,lsteel masteel sch woodlandor tower reit i-bhd klk bumi armada johancsc ann joo,0.0,1.0,0.0,0
0.0,stock with momentum woodlandor holdings,0.0,1.0,0.0,0
-0.3182,klci pares loss retreats 0.08%,0.365,0.635,0.0,-1
0.0,heavy selldown for four mid-cap stocks,0.0,1.0,0.0,0
0.0258,klci reverses loss in line with regional gains,0.215,0.561,0.224,0
0.8271,esthetics confident of keeping growth momentum after 1q profit,0.0,0.408,0.592,1
0.0,klci rebounds in volatile trade ahead of yellens speech,0.0,1.0,0.0,0
-0.3182,karambunai president chen steps down 1q net loss widens,0.223,0.777,0.0,-1
0.0,george kent sycal technodex khind appasia gadang holdings prinsiptek,0.0,1.0,0.0,0
0.0,george kent sycal technodex khind appasia gadang holdings prinsiptek,0.0,1.0,0.0,0
0.0,stock with momentum prinsiptek corp,0.0,1.0,0.0,0
0.0,capitaland malaysia kps consortium sycal sp setia myeg,0.0,1.0,0.0,0
0.0,capitaland malaysia kps consortium sycal sp setia myeg,0.0,1.0,0.0,0
0.0,stock with momentum sycal ventures,0.0,1.0,0.0,0
0.0,sycal felda goodway censof k-star lbs,0.0,1.0,0.0,0
0.0,asia media csc pj development ranhill sapura resources sycal,0.0,1.0,0.0,0
0.0,klci takes cue from us markets up 6.29pts,0.0,1.0,0.0,0
0.0,leon fuat kronologi amalgamated industrial steel pj development century logistics rexit prestar ays,0.0,1.0,0.0,0
0.5423,paos proposes one-for-two bonus issue with warrants,0.0,0.632,0.368,1
0.0,pesona metro bumi armada star media paos taliworks and mpcorp,0.0,1.0,0.0,0
0.1102,fbm klci opens marginally lower ringgit stronger,0.206,0.541,0.253,0
0.5423,paos hits record high after announcement of bonus issue,0.0,0.696,0.304,1
0.0,stocks with momentum choo bee melewar hiap teck cn asia leon fuat perwaja lion industries ays leader steel,0.0,1.0,0.0,0
0.0,pba lb aluminium ays paos choo bee k seng seng samchem ytl e-solutions leader steel,0.0,1.0,0.0,0
0.0,pba lb aluminium ays paos choo bee k seng seng samchem ytl e-solutions leader steel,0.0,1.0,0.0,0
0.0,tenaga included in dow jones index,0.0,1.0,0.0,0
0.0,stock with momentum paos holdings,0.0,1.0,0.0,0
0.0,johan pensonicsouth malaysia industries insas appasiamagni-tech,0.0,1.0,0.0,0
0.0,willowglen ekovest johan kronologi k.seng seng malaysia airports,0.0,1.0,0.0,0
0.743,klci rises 0.66 on fed interest rate cheer,0.0,0.488,0.512,1
0.5267,sino hua-an mtd amalgamated ays elsoft fcw icapital.biz ideal jacobs k.seng seng lb aluminium leon fuat lion industries leader steel masteel melewar paragon tatt giap tien wah,0.0,0.884,0.116,1
0.5267,sino hua-an mtd amalgamated ays elsoft fcw icapital.biz ideal jacobs k.seng seng lb aluminium leon fuat lion industries leader steel masteel melewar paragon tatt giap tien wah,0.0,0.884,0.116,1
0.5267,ace credit the new substantial shareholder of connectcounty,0.0,0.577,0.423,1
0.5267,ace credit the new substantial shareholder of connectcounty,0.0,0.577,0.423,1
0.5267,ykgi willowglen fibon ideal jacobs resintech hiap teck,0.0,0.673,0.327,1
0.5267,ykgi willowglen fibon ideal jacobs resintech hiap teck,0.0,0.673,0.327,1
0.0,stock with momentum fibon,0.0,1.0,0.0,0
0.0,stock with momentum resintech,0.0,1.0,0.0,0
0.0,george kent superlon mercury industries johan cuscapi alcom bina puri atta resintech,0.0,1.0,0.0,0
